id,Smiles,JMJD2,KAT2A,KDM4E,HDAC1,HDAC6,HDAC3,HDAC8,HDAC2,LSD1,SIRT2,KDM4C,EZH2,KDM5B,KDM5A,PRMT5,SIRT1,HDAC11,KDM2B,HDAC10,CREBBP,NSD2,HDAC4,HDAC7,HDAC5,NCOA3,HDAC9,PRMT4,SIRT3,P300,KDM5C,DOT1L,PRMT6,KDM4B,SMYD3,KDM2A,PRMT1,PHF8,PRMT3,JMJD3,NCOA1,PCAF,SMYD2,PRMT8,JMJD4,KDM4D,SETD8,SIRT6,SETD7,LSD2,SIRT7,SUV39H1,MYST1,BAZ1A,BAZ2A,BRD8,PBRM1,BRWD1,SMARCA4,DNMT3A,BRD9,BRPF1,TP53BP1,CBX7,BRD2,BRD7,L3MBTL3,L3MBTL1,BRD4,BRDT,BRPF3,DNMT1,WRD5,BAZ2B,BRD1,SMARCA2,BRD3,DNMT3B,G9a
45,O=C(CCCCCNC(=O)NC(=O)c1ccc(N2CCCC2)c([N+](=O)[O-])c1)NO,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,NC1=C(Br)C(=O)c2ncccc2C1=O,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Cc1c(C(=O)N/N=C\c2ccccn2)oc2cccc(O)c12,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,CN(C)c1ccc(C(=O)N/N=C/c2cccc(C(=O)NO)c2)cc1,,,,0.0,1.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,O=c1[nH]c(-c2cccc(NCCc3ccccc3)c2)cs1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
50,Fc1cccc2c1C1=NCCCN1C(=S)S2,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,NC(=O)c1cncc(Nc2ccc3ccccc3c2)c1,,,,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,CC(=O)c1cc(-c2ccccc2N)[nH]c1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
53,CC(C)(C)c1cc(C(=O)NOCCCCCC(=O)NO)cc(C(C)(C)C)c1,,,,,1.0,,0.0,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,CC(CS(=O)(=O)c1ccccc1/N=C/c1c(O)ccc2ccccc12)c1ccccc1,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
