id,Smiles
92,CC(C)COc1ccccc1Cn1cnc(-c2cc(-c3nn[nH]n3)ccn2)c1
93,Cc1cccc(-c2[nH]c(=S)[nH]c(=O)c2Cc2c(O)ccc3ccccc23)c1
94,Cc1cc(NN)n2nc(SCc3cccc4ccccc34)nc2n1
95,O=C(NO)[C@@H]1[C@H](c2ccccc2)[C@H]1c1cccc(-c2ncc(F)cn2)c1
96,O=C(O)c1ccnc(-n2nccc2OCc2ccc(Cl)c(OCC3CC3)c2)c1
97,COC(c1ccc(F)cc1)(c1ccc(F)cc1)c1ccc(C(=O)NCCCCCCC(=O)NO)cc1
98,CS(=O)(=O)c1cccc(OCC(=O)NCC(O)CN2CCc3ccccc3C2)c1
99,Cc1ccc(-n2nc(-c3ccco3)cc2C(=O)O)c(C)c1
100,O=C(CCc1ccccc1)N/N=C/c1ccc(O)c2ncccc12
101,Cc1ccccc1C1=C/C(=C(\SS/C(C(=O)c2ccc(OCC(=O)O)c(Cl)c2Cl)=C2\C=C(c3ccccc3C)SS2)C(=O)c2ccc(OCC(=O)O)c(Cl)c2Cl)SS1
102,C[C@H]1CN(C(=O)c2ccco2)c2cc(-c3ccc(S(C)(=O)=O)cc3)ccc2N1C=O
103,O=C(NO)c1ccc(Cn2cc(CCO)c3ccccc32)cc1
104,Cc1cc(F)cc(C)c1Oc1ccc(C(C)(C)O)cc1-c1cn(C)c(=O)c2[nH]c(C(=O)NC3(C)CC3(F)F)cc12
105,Nc1ncnc2c1c(Br)cn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O
106,CCc1c(C(=O)Nc2cccc(S(=O)(=O)N(CC)CC)c2)[nH]c(C)c1C(C)=O
107,c1ccc(-c2ncc(OCC3CCNCC3)nc2-c2ccccc2)cc1
108,Nc1ccccc1NC(=O)c1ccc(CSc2ccccn2)cc1
109,N[C@H]1CC[C@H](N[C@H]2C[C@@H]2c2ccc(-c3cccc(C(F)(F)F)c3)cc2)CC1
110,O=c1[nH]c(C(F)(F)F)nc2cnccc12
111,Cc1cc2ccnc(N[C@@H]3CCNC[C@H]3OC[C@H]3CC[C@H](O)CC3)c2[nH]c1=O
112,N[C@@H]1C[C@@H]1Oc1ccccc1
113,O=C(NO)c1ccc(NC(=O)C2(c3ccccc3)CCCC2)nc1
114,O=C1CCC/C1=c1\s/c(=C/c2cccnc2)c(=O)n1-c1ccccc1
115,Nc1ccccc1NC(=O)C/C=C/CCNC(=O)c1ccc(F)cc1
116,CCc1ccc(-c2ncc(OCC3CCNCC3)cc2-c2ccc(C#N)cc2)cc1
117,COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(CN(C)C)o3)nc2cc1OCCCN1CCCC1
118,Cl.O=C(NCCCNCCCCCNCCCNC(=O)NCC(c1ccccc1)c1ccccc1)NCC(c1ccccc1)c1ccccc1
119,Cc1cnc(Nc2ccc3c(c2)N(C(C)C)[C@H](C)C(=O)N3C)nc1-c1cncc2ccccc12
120,Cc1cc(C(C)(C)Nc2ncc(C(=O)NO)cn2)ccc1F
121,COc1ccc(Cl)cc1C(=O)NCCc1ccc(CCCO)cc1
122,COc1ncc(-n2nc3c(c2C(C)C)[C@@H](c2ccc(Cl)cc2)N(c2cc(C)c4onc(C)c4c2)C3=O)c(OC)n1
